@RELATION tsla_45

@ATTRIBUTE sma_9 REAL
@ATTRIBUTE sma_22 REAL
@ATTRIBUTE sma_55 REAL
@ATTRIBUTE sma_200 REAL
@ATTRIBUTE MACD_12_26_9 REAL
@ATTRIBUTE MACD_20_80_2 REAL
@ATTRIBUTE MACD_40_80_2 REAL
@ATTRIBUTE MACD_1_68_2 REAL
@ATTRIBUTE MACD_21_81_2 REAL
@ATTRIBUTE rsi_7 REAL
@ATTRIBUTE rsi_14 REAL
@ATTRIBUTE rsi_21 REAL
@ATTRIBUTE rsi_44 REAL
@ATTRIBUTE cci_44 REAL
@ATTRIBUTE adx_44 REAL
@ATTRIBUTE wma_22 REAL
@ATTRIBUTE wma_220 REAL
@ATTRIBUTE vwap REAL
@ATTRIBUTE ema_9 REAL
@ATTRIBUTE ema_22 REAL
@ATTRIBUTE ema_55 REAL
@ATTRIBUTE ema_200 REAL
@ATTRIBUTE trix_10 REAL
@ATTRIBUTE trix_40 REAL
@ATTRIBUTE class {1,0}

@DATA
891.5816,822.038377,781.934407,756.386981,48.458066,68.643625,29.417914,164.380872,66.060148,81.991552,79.456244,77.152898,71.185713,260.190102,15.32903,857.540979,762.241468,763.947592,904.439325,847.549485,799.177828,764.462577,1.020971,0.106468,0
910.687822,831.157295,786.228335,757.458097,50.99509,74.674474,32.274521,167.334512,71.933125,83.027309,80.206384,77.816098,71.733947,231.337107,15.961684,869.789216,764.120459,765.30475,916.13008,857.579365,805.024802,766.437011,1.110526,0.119115,0
925.577533,840.116836,790.507442,758.500261,52.030451,79.49236,34.773724,157.965911,76.672952,79.950842,78.410591,76.455034,70.926007,194.9838,16.495652,880.839877,765.948038,766.466657,924.552044,866.332455,810.496769,768.345497,1.164058,0.13234,0
940.182689,848.890182,794.538316,759.478082,51.434865,82.837126,36.804677,143.480997,80.028164,73.158531,74.492689,73.502179,69.178909,166.062557,17.002482,890.224326,767.674108,767.086759,929.249235,873.437285,815.408956,770.133482,1.177711,0.145782,0
946.769189,857.552841,798.780776,760.437602,50.29996,85.521198,38.61973,138.322468,82.758035,72.448688,74.092411,73.203286,69.003486,148.689084,17.479201,898.756354,769.382205,768.492939,932.801088,879.834782,820.10894,771.893433,1.160135,0.15927,0
954.901322,865.550423,802.973456,761.406438,48.815147,87.668744,40.250326,134.040169,84.977009,72.229991,73.976123,73.118235,68.954657,133.952813,17.906856,906.510664,771.078956,769.171408,935.58635,885.651531,824.631028,773.633074,1.119679,0.172668,0
953.252956,873.040636,806.967702,762.335737,46.500218,88.831158,41.534833,122.908556,86.260227,66.169655,70.814684,70.829473,67.654803,119.566054,18.302408,912.920601,772.699625,769.998535,936.32202,890.313546,828.725088,775.28115,1.05821,0.185746,0
951.467322,881.1555,810.745884,763.303187,44.621307,90.058963,42.816813,125.00244,87.594565,68.525528,71.821828,71.557534,68.134355,114.086821,18.688798,919.185763,774.36491,771.064909,938.075616,895.076716,832.880977,776.97079,0.988538,0.19851,0
949.635711,889.685732,814.282527,764.240914,42.594884,90.89009,43.940734,120.821236,88.545568,67.991774,71.560845,71.373453,68.032602,104.136553,18.999422,924.695319,776.01666,772.107054,939.363573,899.375732,836.867921,778.637901,0.914176,0.21087,0
947.679667,897.5283,817.658164,765.156314,39.949422,90.90356,44.757658,110.351754,88.715399,61.189726,68.242982,69.049641,66.759286,92.689535,19.279604,928.839169,777.595312,772.829645,938.958858,902.676973,840.456209,780.217026,0.8334,0.222647,0
944.411544,903.858382,820.822491,766.088678,37.113582,90.429371,45.368653,103.405037,88.412554,57.644266,66.466782,67.805488,66.078857,82.797547,19.484972,931.965404,779.13114,773.687154,937.863087,905.355497,843.778488,781.742031,0.748729,0.233744,0
940.831478,909.761077,823.895024,766.985675,33.873668,89.271959,45.701126,93.163341,87.451641,51.103496,63.067441,65.418722,64.773821,73.791824,19.68559,933.89244,780.591778,773.903232,935.494329,907.152349,846.71566,783.177626,0.659987,0.244025,0
938.406711,915.278582,826.867298,767.88005,30.964869,88.054517,45.959245,90.653079,86.418509,51.26934,63.120477,65.452157,64.792484,70.040741,19.885776,935.323225,782.046794,774.323156,933.638483,908.80998,849.554925,784.600884,0.573168,0.253497,0
936.002433,921.110718,829.959149,768.774677,28.265603,86.713535,46.122995,87.204849,85.254375,50.425692,62.704072,65.167259,64.641306,66.064994,20.075169,936.200739,783.486764,774.622397,931.984787,910.249981,852.262607,786.001572,0.491118,0.262156,0
933.885856,927.326223,833.125544,769.680568,26.012809,85.489147,46.274962,86.918468,84.186388,52.847638,63.410441,65.595754,64.870268,63.950729,20.26087,936.771825,784.940259,774.926967,931.123469,911.765479,854.956021,787.411289,0.417509,0.270051,0
932.509633,931.991959,836.250249,770.600266,23.887579,84.151285,46.340951,83.622766,82.999324,51.844983,62.967855,65.304248,64.721804,60.059114,20.425273,936.732909,786.379106,775.280408,930.274516,913.079672,857.524688,788.799025,0.351936,0.27718,0
930.499633,937.010523,839.340795,771.515266,21.959966,82.781397,46.349277,81.316702,81.77053,52.00288,63.009824,65.328738,64.734327,58.162141,20.591429,936.298826,787.811647,775.547207,929.619612,914.290135,860.005949,790.174159,0.294465,0.283564,0
928.743367,938.873205,842.392593,772.452056,20.335803,81.498477,46.342344,80.61916,80.613062,54.40989,63.632001,65.686229,64.913802,56.11944,20.762497,935.576955,789.25223,775.891368,929.43749,915.54395,862.459629,791.552615,0.245802,0.289248,0
927.5867,941.300105,845.347365,773.379877,18.689648,80.049249,46.237241,76.554938,79.289403,51.34652,62.460268,64.955845,64.56399,53.045882,20.929113,934.538415,790.669289,776.236203,928.935992,916.534041,864.762143,792.899654,0.203555,0.294224,0
926.955589,940.10465,848.34856,774.308757,17.256341,78.643553,46.104999,75.180737,77.997489,52.830798,62.819009,65.15435,64.659242,51.173273,21.102425,933.364493,792.086935,776.80151,928.708794,917.513689,867.013495,794.241946,0.167851,0.298528,0
927.509,938.733709,851.396742,775.248289,16.191996,77.44395,46.003869,76.108831,76.891585,58.192234,64.168435,65.898674,65.013019,51.022885,21.282557,932.572784,793.526205,777.594158,929.167035,918.686412,869.298727,795.602722,0.139917,0.302231,0
927.559833,937.173377,854.426589,776.142452,14.828378,75.897997,45.750393,69.70081,75.452393,49.497184,60.962665,63.963042,64.125212,45.527726,21.431291,931.523992,794.918816,778.229448,928.668148,919.380863,871.347794,796.9069,0.115,0.305289,0
